cvorNumber,reportDate,id,date,startTime,endTime,cvir,location,driverName,driverLicence,driverLicenceJurisdiction,vehicle1_make,vehicle1_unit,vehicle1_plate,vehicle1_jurisdiction,level,vehiclePoints,driverPoints,oosCount,totalDefects,charged,coDriver,impoundment
030-720-022,2024-07-25,20240725-insp-147,2024-07-20,09:00,09:45,CVIR2407250147,"HWY 401 Toronto, ON","GREWAL, J",D3007791-ON,ON,VOLVO,T447,PR7029,CAON,5,0,0,0,0,N,N,N
030-720-022,2024-07-25,20240725-insp-146,2024-07-15,10:30,11:10,CVIR2407250146,"HWY 416 Ottawa, ON","PATEL, A",D3007738-ON,ON,WESTERN,T446,PR7022,CAON,5,0,0,0,0,N,N,N
030-720-022,2024-07-25,20240725-insp-145,2024-07-10,14:00,14:40,CVIR2407250145,"HWY 403 Brantford, ON","SHARMA, R",D3007685-ON,ON,INTL,T445,PR7015,CAON,5,0,0,0,0,N,N,N
030-720-022,2024-07-25,20240725-insp-144,2024-07-05,08:30,09:10,CVIR2407250144,"QEW Hamilton, ON","SINGH, M",D3007632-ON,ON,MACK,T444,PR7008,CAON,4,0,0,0,0,N,N,N
030-720-022,2024-07-25,20240725-insp-143,2024-06-30,15:45,16:25,CVIR2407250143,"HWY 11 North Bay, ON","GILL, P",D3007579-ON,ON,KENWORTH,T443,PR7001,CAON,4,0,0,0,0,N,N,N
030-720-022,2024-07-25,20240725-insp-142,2024-06-25,13:15,13:55,CVIR2407250142,"HWY 7 Mississauga, ON","BAJWA, S",D3007526-ON,ON,PETERBILT,T442,PR6994,CAON,4,0,0,0,0,N,N,N
030-720-022,2024-07-25,20240725-insp-141,2024-06-20,11:30,12:15,CVIR2407250141,"HWY 400 Barrie, ON","BRAR, H",D3007473-ON,ON,FREIGHTLN,T441,PR6987,CAON,4,0,0,0,0,N,N,N
030-720-022,2024-07-25,20240725-insp-140,2024-06-15,09:00,09:45,CVIR2407250140,"HWY 401 Toronto, ON","DHILLON, K",D3007420-ON,ON,VOLVO,T440,PR6980,CAON,4,1,0,1,2,Y,N,N
030-720-022,2024-07-25,20240725-insp-139,2024-06-10,10:30,11:10,CVIR2407250139,"HWY 416 Ottawa, ON","GREWAL, J",D3007367-ON,ON,WESTERN,T439,PR6973,CAON,3,0,0,0,0,N,N,N
030-720-022,2024-07-25,20240725-insp-138,2024-06-05,14:00,14:40,CVIR2407250138,"HWY 403 Brantford, ON","PATEL, A",D3007314-ON,ON,INTL,T438,PR6966,CAON,3,0,0,0,0,N,N,N
030-720-022,2024-07-25,20240725-insp-137,2024-06-01,08:30,09:10,CVIR2407250137,"QEW Hamilton, ON","SHARMA, R",D3007261-ON,ON,MACK,T437,PR6959,CAON,3,0,0,0,0,N,N,N
030-720-022,2024-07-25,20240725-insp-136,2024-05-27,15:45,16:25,CVIR2407250136,"HWY 11 North Bay, ON","SINGH, M",D3007208-ON,ON,KENWORTH,T436,PR6952,CAON,3,0,0,0,0,N,N,N
030-720-022,2024-07-25,20240725-insp-135,2024-05-22,13:15,13:55,CVIR2407250135,"HWY 7 Mississauga, ON","GILL, P",D3007155-ON,ON,PETERBILT,T435,PR6945,CAON,3,0,0,0,0,N,N,N
030-720-022,2024-07-25,20240725-insp-134,2024-05-17,11:30,12:15,CVIR2407250134,"HWY 400 Barrie, ON","BAJWA, S",D3007102-ON,ON,FREIGHTLN,T434,PR6938,CAON,3,0,0,0,0,N,N,N
030-720-022,2024-07-25,20240725-insp-133,2024-05-12,09:00,09:45,CVIR2407250133,"HWY 401 Toronto, ON","BRAR, H",D3007049-ON,ON,VOLVO,T433,PR6931,CAON,3,0,0,0,0,N,N,N
030-720-022,2024-07-25,20240725-insp-132,2024-05-07,10:30,11:10,CVIR2407250132,"HWY 416 Ottawa, ON","DHILLON, K",D3006996-ON,ON,WESTERN,T432,PR6924,CAON,3,0,0,0,0,N,N,N
030-720-022,2024-07-25,20240725-insp-131,2024-05-02,14:00,14:40,CVIR2407250131,"HWY 403 Brantford, ON","GREWAL, J",D3006943-ON,ON,INTL,T431,PR6917,CAON,3,0,0,0,0,N,N,N
030-720-022,2024-07-25,20240725-insp-130,2024-04-27,08:30,09:10,CVIR2407250130,"QEW Hamilton, ON","PATEL, A",D3006890-ON,ON,MACK,T430,PR6910,CAON,3,0,0,0,0,N,N,N
030-720-022,2024-07-25,20240725-insp-129,2024-04-22,15:45,16:25,CVIR2407250129,"HWY 11 North Bay, ON","SHARMA, R",D3006837-ON,ON,KENWORTH,T429,PR6903,CAON,3,0,0,0,0,N,N,N
030-720-022,2024-07-25,20240725-insp-128,2024-04-17,13:15,13:55,CVIR2407250128,"HWY 7 Mississauga, ON","SINGH, M",D3006784-ON,ON,PETERBILT,T428,PR6896,CAON,3,0,0,0,0,N,N,N
030-720-022,2024-07-25,20240725-insp-127,2024-04-12,11:30,12:15,CVIR2407250127,"HWY 400 Barrie, ON","GILL, P",D3006731-ON,ON,FREIGHTLN,T427,PR6889,CAON,3,0,0,0,0,N,N,N
030-720-022,2024-07-25,20240725-insp-126,2024-04-08,09:00,09:45,CVIR2407250126,"HWY 401 Toronto, ON","BAJWA, S",D3006678-ON,ON,VOLVO,T426,PR6882,CAON,3,0,0,0,0,N,N,N
030-720-022,2024-07-25,20240725-insp-125,2024-04-03,10:30,11:10,CVIR2407250125,"HWY 416 Ottawa, ON","BRAR, H",D3006625-ON,ON,WESTERN,T425,PR6875,CAON,3,0,0,0,0,N,N,N
030-720-022,2024-07-25,20240725-insp-124,2024-03-29,14:00,14:40,CVIR2407250124,"HWY 403 Brantford, ON","DHILLON, K",D3006572-ON,ON,INTL,T424,PR6868,CAON,3,0,0,0,0,N,N,N
030-720-022,2024-07-25,20240725-insp-123,2024-03-24,08:30,09:10,CVIR2407250123,"QEW Hamilton, ON","GREWAL, J",D3006519-ON,ON,MACK,T423,PR6861,CAON,3,0,0,0,0,N,N,N
030-720-022,2024-07-25,20240725-insp-122,2024-03-19,15:45,16:25,CVIR2407250122,"HWY 11 North Bay, ON","PATEL, A",D3006466-ON,ON,KENWORTH,T422,PR6854,CAON,3,0,0,0,0,N,N,N
030-720-022,2024-07-25,20240725-insp-121,2024-03-14,13:15,13:55,CVIR2407250121,"HWY 7 Mississauga, ON","SHARMA, R",D3006413-ON,ON,PETERBILT,T421,PR6847,CAON,3,0,0,0,0,N,N,N
