cvorNumber,reportDate,id,date,time,ticket,location,driverName,driverLicence,vehicle1_plate,convictionDate,chargedCarrier,offence,points,microfilm
060-420-001,2026-04-02,20260402-conv-4,2026-02-20,11:00,CONV-20260402-004,"QEW Hamilton, ON","DHILLON, K",D2000364-ON,PR5028,2026-03-22,N,HTA s.128 - Speeding,1,MF260402-0004
060-420-001,2026-04-02,20260402-conv-3,2026-01-11,08:15,CONV-20260402-003,"HWY 11 North Bay, ON","GREWAL, J",D2000273-ON,PR5021,2026-02-10,N,HTA s.128 - Speeding,2,MF260402-0003
060-420-001,2026-04-02,20260402-conv-2,2025-12-01,16:20,CONV-20260402-002,"HWY 7 Mississauga, ON","PATEL, A",D2000182-ON,PR5014,2025-12-31,N,HTA s.128 - Speeding,2,MF260402-0002
060-420-001,2026-04-02,20260402-conv-1,2025-10-22,13:45,CONV-20260402-001,"HWY 400 Barrie, ON","SHARMA, R",D2000091-ON,PR5007,2025-11-21,N,HTA s.128 - Speeding,2,MF260402-0001
060-420-001,2026-04-02,20260402-conv-0,2025-09-11,09:30,CONV-20260402-000,"HWY 401 Toronto, ON","SINGH, M",D2000000-ON,PR5000,2025-10-11,N,HTA s.128 - Speeding,2,MF260402-0000
060-420-001,2026-04-02,20260402-conv-8,2025-06-13,13:45,CONV-20260402-008,"HWY 400 Barrie, ON","SINGH, M",D2000728-ON,PR5056,2025-07-13,N,HTA s.84 - Defective brakes,2,MF260402-0008
060-420-001,2026-04-02,20260402-conv-7,2025-04-26,09:30,CONV-20260402-007,"HWY 401 Toronto, ON","GILL, P",D2000637-ON,PR5049,2025-05-26,N,HTA s.84 - Defective brakes,2,MF260402-0007
060-420-001,2026-04-02,20260402-conv-6,2025-03-08,10:15,CONV-20260402-006,"HWY 416 Ottawa, ON","BAJWA, S",D2000546-ON,PR5042,2025-04-07,N,HTA s.84 - Defective brakes,2,MF260402-0006
060-420-001,2026-04-02,20260402-conv-5,2025-01-19,14:30,CONV-20260402-005,"HWY 403 Brantford, ON","BRAR, H",D2000455-ON,PR5035,2025-02-18,N,HTA s.128 - Speeding,3,MF260402-0005
060-420-001,2026-04-02,20260402-conv-10,2024-09-11,08:15,CONV-20260402-010,"HWY 11 North Bay, ON","PATEL, A",D2000910-ON,PR5070,2024-10-11,N,HTA s.74 - Other,3,MF260402-0010
060-420-001,2026-04-02,20260402-conv-9,2024-06-22,16:20,CONV-20260402-009,"HWY 7 Mississauga, ON","SHARMA, R",D2000819-ON,PR5063,2024-07-22,Y,HTA s.111 - Improperly secured load,3,MF260402-0009
