cvorNumber,reportDate,id,date,startTime,endTime,cvir,location,driverName,driverLicence,driverLicenceJurisdiction,vehicle1_make,vehicle1_unit,vehicle1_plate,vehicle1_jurisdiction,level,vehiclePoints,driverPoints,oosCount,totalDefects,charged,coDriver,impoundment
369-110-004,2024-11-04,20241104-insp-45,2024-10-18,15:45,16:25,CVIR2411040045,"HWY 11 North Bay, ON","BRAR, H",D3002385-ON,ON,KENWORTH,T345,PR6315,CAON,5,0,0,0,0,N,N,N
369-110-004,2024-11-04,20241104-insp-44,2024-10-02,13:15,13:55,CVIR2411040044,"HWY 7 Mississauga, ON","DHILLON, K",D3002332-ON,ON,PETERBILT,T344,PR6308,CAON,4,0,0,0,0,N,N,N
369-110-004,2024-11-04,20241104-insp-43,2024-09-17,11:30,12:15,CVIR2411040043,"HWY 400 Barrie, ON","GREWAL, J",D3002279-ON,ON,FREIGHTLN,T343,PR6301,CAON,4,0,0,0,0,N,N,N
369-110-004,2024-11-04,20241104-insp-42,2024-09-01,09:00,09:45,CVIR2411040042,"HWY 401 Toronto, ON","PATEL, A",D3002226-ON,ON,VOLVO,T342,PR6294,CAON,3,0,0,0,0,N,N,N
369-110-004,2024-11-04,20241104-insp-41,2024-08-17,10:30,11:10,CVIR2411040041,"HWY 416 Ottawa, ON","SHARMA, R",D3002173-ON,ON,WESTERN,T341,PR6287,CAON,3,0,0,0,0,N,N,N
369-110-004,2024-11-04,20241104-insp-40,2024-08-01,14:00,14:40,CVIR2411040040,"HWY 403 Brantford, ON","SINGH, M",D3002120-ON,ON,INTL,T340,PR6280,CAON,3,0,0,0,0,N,N,N
369-110-004,2024-11-04,20241104-insp-39,2024-07-17,08:30,09:10,CVIR2411040039,"QEW Hamilton, ON","GILL, P",D3002067-ON,ON,MACK,T339,PR6273,CAON,3,0,0,0,0,N,N,N
369-110-004,2024-11-04,20241104-insp-38,2024-07-01,15:45,16:25,CVIR2411040038,"HWY 11 North Bay, ON","BAJWA, S",D3002014-ON,ON,KENWORTH,T338,PR6266,CAON,3,0,0,0,0,N,N,N
369-110-004,2024-11-04,20241104-insp-37,2024-06-16,13:15,13:55,CVIR2411040037,"HWY 7 Mississauga, ON","BRAR, H",D3001961-ON,ON,PETERBILT,T337,PR6259,CAON,3,0,0,0,0,N,N,N
369-110-004,2024-11-04,20241104-insp-36,2024-05-31,11:30,12:15,CVIR2411040036,"HWY 400 Barrie, ON","DHILLON, K",D3001908-ON,ON,FREIGHTLN,T336,PR6252,CAON,3,0,0,0,0,N,N,N
369-110-004,2024-11-04,20241104-insp-35,2024-05-15,09:00,09:45,CVIR2411040035,"HWY 401 Toronto, ON","GREWAL, J",D3001855-ON,ON,VOLVO,T335,PR6245,CAON,3,0,0,0,0,N,N,N
