cvorNumber,reportDate,id,date,time,ticket,location,driverName,driverLicence,vehicle1_plate,collisionClass,vehicleAction,driverAction,driverCharged,points,microfilm
030-720-022,2024-07-25,20240725-coll-7,2024-06-27,09:30,COLL-20240725-007,"HWY 401 Toronto, ON","GILL, P",D1000959-ON,PR4049,CLASS-PROPERTY DAMAGE ONLY,VEH ACTN-CHANGING LANES,DR ACT-IMPROPER LANE CHANGE,N,0,MF240725-0007
030-720-022,2024-07-25,20240725-coll-6,2024-05-31,10:15,COLL-20240725-006,"HWY 416 Ottawa, ON","BAJWA, S",D1000822-ON,PR4042,CLASS-PROPERTY DAMAGE ONLY,VEH ACTN-CHANGING LANES,DR ACT-IMPROPER LANE CHANGE,N,0,MF240725-0006
030-720-022,2024-07-25,20240725-coll-5,2024-05-04,14:30,COLL-20240725-005,"HWY 403 Brantford, ON","BRAR, H",D1000685-ON,PR4035,CLASS-PROPERTY DAMAGE ONLY,VEH ACTN-CHANGING LANES,DR ACT-IMPROPER LANE CHANGE,Y,1,MF240725-0005
030-720-022,2024-07-25,20240725-coll-4,2024-04-07,11:00,COLL-20240725-004,"QEW Hamilton, ON","DHILLON, K",D1000548-ON,PR4028,CLASS-PROPERTY DAMAGE ONLY,VEH ACTN-CHANGING LANES,DR ACT-IMPROPER LANE CHANGE,Y,1,MF240725-0004
030-720-022,2024-07-25,20240725-coll-3,2024-03-11,08:15,COLL-20240725-003,"HWY 11 North Bay, ON","GREWAL, J",D1000411-ON,PR4021,CLASS-PROPERTY DAMAGE ONLY,VEH ACTN-CHANGING LANES,DR ACT-IMPROPER LANE CHANGE,Y,1,MF240725-0003
030-720-022,2024-07-25,20240725-coll-2,2024-02-13,16:20,COLL-20240725-002,"HWY 7 Mississauga, ON","PATEL, A",D1000274-ON,PR4014,CLASS-INJURY,VEH ACTN-CHANGING LANES,DR ACT-IMPROPER LANE CHANGE,Y,1,MF240725-0002
030-720-022,2024-07-25,20240725-coll-1,2024-01-17,13:45,COLL-20240725-001,"HWY 400 Barrie, ON","SHARMA, R",D1000137-ON,PR4007,CLASS-INJURY,VEH ACTN-CHANGING LANES,DR ACT-IMPROPER LANE CHANGE,Y,1,MF240725-0001
030-720-022,2024-07-25,20240725-coll-0,2023-12-21,09:30,COLL-20240725-000,"HWY 401 Toronto, ON","SINGH, M",D1000000-ON,PR4000,CLASS-INJURY,VEH ACTN-CHANGING LANES,DR ACT-IMPROPER LANE CHANGE,Y,1,MF240725-0000
030-720-022,2024-07-25,20240725-coll-14,2023-10-25,09:30,COLL-20240725-014,"HWY 401 Toronto, ON","BAJWA, S",D1001918-ON,PR4098,CLASS-PROPERTY DAMAGE ONLY,VEH ACTN-CHANGING LANES,DR ACT-IMPROPER LANE CHANGE,N,0,MF240725-0014
030-720-022,2024-07-25,20240725-coll-13,2023-09-24,10:15,COLL-20240725-013,"HWY 416 Ottawa, ON","BRAR, H",D1001781-ON,PR4091,CLASS-PROPERTY DAMAGE ONLY,VEH ACTN-CHANGING LANES,DR ACT-IMPROPER LANE CHANGE,N,0,MF240725-0013
