cvorNumber,reportDate,id,date,time,ticket,location,driverName,driverLicence,vehicle1_plate,collisionClass,vehicleAction,driverAction,driverCharged,points,microfilm
060-420-001,2026-04-02,20260402-coll-6,2026-03-02,10:15,COLL-20260402-006,"HWY 416 Ottawa, ON","BAJWA, S",D1000822-ON,PR4042,CLASS-PROPERTY DAMAGE ONLY,VEH ACTN-CHANGING LANES,DR ACT-IMPROPER LANE CHANGE,N,0,MF260402-0006
060-420-001,2026-04-02,20260402-coll-5,2026-01-31,14:30,COLL-20260402-005,"HWY 403 Brantford, ON","BRAR, H",D1000685-ON,PR4035,CLASS-PROPERTY DAMAGE ONLY,VEH ACTN-CHANGING LANES,DR ACT-IMPROPER LANE CHANGE,Y,1,MF260402-0005
060-420-001,2026-04-02,20260402-coll-4,2025-12-31,11:00,COLL-20260402-004,"QEW Hamilton, ON","DHILLON, K",D1000548-ON,PR4028,CLASS-PROPERTY DAMAGE ONLY,VEH ACTN-CHANGING LANES,DR ACT-IMPROPER LANE CHANGE,Y,1,MF260402-0004
060-420-001,2026-04-02,20260402-coll-3,2025-12-01,08:15,COLL-20260402-003,"HWY 11 North Bay, ON","GREWAL, J",D1000411-ON,PR4021,CLASS-PROPERTY DAMAGE ONLY,VEH ACTN-CHANGING LANES,DR ACT-IMPROPER LANE CHANGE,Y,1,MF260402-0003
060-420-001,2026-04-02,20260402-coll-2,2025-11-01,16:20,COLL-20260402-002,"HWY 7 Mississauga, ON","PATEL, A",D1000274-ON,PR4014,CLASS-PROPERTY DAMAGE ONLY,VEH ACTN-CHANGING LANES,DR ACT-IMPROPER LANE CHANGE,Y,1,MF260402-0002
060-420-001,2026-04-02,20260402-coll-1,2025-10-01,13:45,COLL-20260402-001,"HWY 400 Barrie, ON","SHARMA, R",D1000137-ON,PR4007,CLASS-INJURY,VEH ACTN-CHANGING LANES,DR ACT-IMPROPER LANE CHANGE,Y,1,MF260402-0001
060-420-001,2026-04-02,20260402-coll-0,2025-09-01,09:30,COLL-20260402-000,"HWY 401 Toronto, ON","SINGH, M",D1000000-ON,PR4000,CLASS-INJURY,VEH ACTN-CHANGING LANES,DR ACT-IMPROPER LANE CHANGE,Y,1,MF260402-0000
060-420-001,2026-04-02,20260402-coll-12,2025-06-27,14:30,COLL-20260402-012,"HWY 403 Brantford, ON","DHILLON, K",D1001644-ON,PR4084,CLASS-PROPERTY DAMAGE ONLY,VEH ACTN-CHANGING LANES,DR ACT-IMPROPER LANE CHANGE,N,0,MF260402-0012
060-420-001,2026-04-02,20260402-coll-11,2025-05-23,11:00,COLL-20260402-011,"QEW Hamilton, ON","GREWAL, J",D1001507-ON,PR4077,CLASS-PROPERTY DAMAGE ONLY,VEH ACTN-CHANGING LANES,DR ACT-IMPROPER LANE CHANGE,Y,1,MF260402-0011
060-420-001,2026-04-02,20260402-coll-10,2025-04-19,08:15,COLL-20260402-010,"HWY 11 North Bay, ON","PATEL, A",D1001370-ON,PR4070,CLASS-PROPERTY DAMAGE ONLY,VEH ACTN-CHANGING LANES,DR ACT-IMPROPER LANE CHANGE,Y,1,MF260402-0010
060-420-001,2026-04-02,20260402-coll-9,2025-03-15,16:20,COLL-20260402-009,"HWY 7 Mississauga, ON","SHARMA, R",D1001233-ON,PR4063,CLASS-PROPERTY DAMAGE ONLY,VEH ACTN-CHANGING LANES,DR ACT-IMPROPER LANE CHANGE,Y,1,MF260402-0009
060-420-001,2026-04-02,20260402-coll-8,2025-02-09,13:45,COLL-20260402-008,"HWY 400 Barrie, ON","SINGH, M",D1001096-ON,PR4056,CLASS-PROPERTY DAMAGE ONLY,VEH ACTN-CHANGING LANES,DR ACT-IMPROPER LANE CHANGE,Y,1,MF260402-0008
060-420-001,2026-04-02,20260402-coll-7,2025-01-05,09:30,COLL-20260402-007,"HWY 401 Toronto, ON","GILL, P",D1000959-ON,PR4049,CLASS-PROPERTY DAMAGE ONLY,VEH ACTN-CHANGING LANES,DR ACT-IMPROPER LANE CHANGE,Y,1,MF260402-0007
060-420-001,2026-04-02,20260402-coll-17,2024-10-22,08:15,COLL-20260402-017,"HWY 11 North Bay, ON","SHARMA, R",D1002329-ON,PR4119,CLASS-PROPERTY DAMAGE ONLY,VEH ACTN-CHANGING LANES,DR ACT-IMPROPER LANE CHANGE,N,0,MF260402-0017
060-420-001,2026-04-02,20260402-coll-16,2024-09-11,16:20,COLL-20260402-016,"HWY 7 Mississauga, ON","SINGH, M",D1002192-ON,PR4112,CLASS-PROPERTY DAMAGE ONLY,VEH ACTN-CHANGING LANES,DR ACT-IMPROPER LANE CHANGE,N,0,MF260402-0016
060-420-001,2026-04-02,20260402-coll-15,2024-08-02,13:45,COLL-20260402-015,"HWY 400 Barrie, ON","GILL, P",D1002055-ON,PR4105,CLASS-PROPERTY DAMAGE ONLY,VEH ACTN-CHANGING LANES,DR ACT-IMPROPER LANE CHANGE,Y,1,MF260402-0015
060-420-001,2026-04-02,20260402-coll-14,2024-06-22,09:30,COLL-20260402-014,"HWY 401 Toronto, ON","BAJWA, S",D1001918-ON,PR4098,CLASS-PROPERTY DAMAGE ONLY,VEH ACTN-CHANGING LANES,DR ACT-IMPROPER LANE CHANGE,Y,1,MF260402-0014
060-420-001,2026-04-02,20260402-coll-13,2024-05-12,10:15,COLL-20260402-013,"HWY 416 Ottawa, ON","BRAR, H",D1001781-ON,PR4091,CLASS-PROPERTY DAMAGE ONLY,VEH ACTN-CHANGING LANES,DR ACT-IMPROPER LANE CHANGE,Y,1,MF260402-0013
