cvorNumber,reportDate,id,date,startTime,endTime,cvir,location,driverName,driverLicence,driverLicenceJurisdiction,vehicle1_make,vehicle1_unit,vehicle1_plate,vehicle1_jurisdiction,level,vehiclePoints,driverPoints,oosCount,totalDefects,charged,coDriver,impoundment
060-420-001,2026-04-02,20260402-insp-136,2026-03-27,15:45,16:25,CVIR2604020136,"HWY 11 North Bay, ON","SINGH, M",D3007208-ON,ON,KENWORTH,T436,PR6952,CAON,5,0,0,0,0,N,N,N
060-420-001,2026-04-02,20260402-insp-135,2026-03-22,13:15,13:55,CVIR2604020135,"HWY 7 Mississauga, ON","GILL, P",D3007155-ON,ON,PETERBILT,T435,PR6945,CAON,5,0,0,0,0,N,N,N
060-420-001,2026-04-02,20260402-insp-134,2026-03-17,11:30,12:15,CVIR2604020134,"HWY 400 Barrie, ON","BAJWA, S",D3007102-ON,ON,FREIGHTLN,T434,PR6938,CAON,5,0,0,0,0,N,N,N
060-420-001,2026-04-02,20260402-insp-133,2026-03-11,09:00,09:45,CVIR2604020133,"HWY 401 Toronto, ON","BRAR, H",D3007049-ON,ON,VOLVO,T433,PR6931,CAON,4,0,0,0,0,N,N,N
060-420-001,2026-04-02,20260402-insp-132,2026-03-06,10:30,11:10,CVIR2604020132,"HWY 416 Ottawa, ON","DHILLON, K",D3006996-ON,ON,WESTERN,T432,PR6924,CAON,4,0,0,0,0,N,N,N
060-420-001,2026-04-02,20260402-insp-131,2026-03-01,14:00,14:40,CVIR2604020131,"HWY 403 Brantford, ON","GREWAL, J",D3006943-ON,ON,INTL,T431,PR6917,CAON,4,0,0,0,0,N,N,N
060-420-001,2026-04-02,20260402-insp-130,2026-02-23,08:30,09:10,CVIR2604020130,"QEW Hamilton, ON","PATEL, A",D3006890-ON,ON,MACK,T430,PR6910,CAON,4,1,0,1,2,Y,N,N
060-420-001,2026-04-02,20260402-insp-129,2026-02-18,15:45,16:25,CVIR2604020129,"HWY 11 North Bay, ON","SHARMA, R",D3006837-ON,ON,KENWORTH,T429,PR6903,CAON,3,0,0,0,0,N,N,N
060-420-001,2026-04-02,20260402-insp-128,2026-02-13,13:15,13:55,CVIR2604020128,"HWY 7 Mississauga, ON","SINGH, M",D3006784-ON,ON,PETERBILT,T428,PR6896,CAON,3,0,0,0,0,N,N,N
060-420-001,2026-04-02,20260402-insp-127,2026-02-08,11:30,12:15,CVIR2604020127,"HWY 400 Barrie, ON","GILL, P",D3006731-ON,ON,FREIGHTLN,T427,PR6889,CAON,3,0,0,0,0,N,N,N
060-420-001,2026-04-02,20260402-insp-126,2026-02-02,09:00,09:45,CVIR2604020126,"HWY 401 Toronto, ON","BAJWA, S",D3006678-ON,ON,VOLVO,T426,PR6882,CAON,3,0,0,0,0,N,N,N
060-420-001,2026-04-02,20260402-insp-125,2026-01-28,10:30,11:10,CVIR2604020125,"HWY 416 Ottawa, ON","BRAR, H",D3006625-ON,ON,WESTERN,T425,PR6875,CAON,3,0,0,0,0,N,N,N
060-420-001,2026-04-02,20260402-insp-124,2026-01-23,14:00,14:40,CVIR2604020124,"HWY 403 Brantford, ON","DHILLON, K",D3006572-ON,ON,INTL,T424,PR6868,CAON,3,0,0,0,0,N,N,N
060-420-001,2026-04-02,20260402-insp-123,2026-01-17,08:30,09:10,CVIR2604020123,"QEW Hamilton, ON","GREWAL, J",D3006519-ON,ON,MACK,T423,PR6861,CAON,3,0,0,0,0,N,N,N
060-420-001,2026-04-02,20260402-insp-122,2026-01-12,15:45,16:25,CVIR2604020122,"HWY 11 North Bay, ON","PATEL, A",D3006466-ON,ON,KENWORTH,T422,PR6854,CAON,3,0,0,0,0,N,N,N
060-420-001,2026-04-02,20260402-insp-121,2026-01-07,13:15,13:55,CVIR2604020121,"HWY 7 Mississauga, ON","SHARMA, R",D3006413-ON,ON,PETERBILT,T421,PR6847,CAON,3,0,0,0,0,N,N,N
060-420-001,2026-04-02,20260402-insp-120,2026-01-02,11:30,12:15,CVIR2604020120,"HWY 400 Barrie, ON","SINGH, M",D3006360-ON,ON,FREIGHTLN,T420,PR6840,CAON,3,0,0,0,0,N,N,N
060-420-001,2026-04-02,20260402-insp-119,2025-12-27,09:00,09:45,CVIR2604020119,"HWY 401 Toronto, ON","GILL, P",D3006307-ON,ON,VOLVO,T419,PR6833,CAON,3,0,0,0,0,N,N,N
060-420-001,2026-04-02,20260402-insp-118,2025-12-22,10:30,11:10,CVIR2604020118,"HWY 416 Ottawa, ON","BAJWA, S",D3006254-ON,ON,WESTERN,T418,PR6826,CAON,3,0,0,0,0,N,N,N
060-420-001,2026-04-02,20260402-insp-117,2025-12-17,14:00,14:40,CVIR2604020117,"HWY 403 Brantford, ON","BRAR, H",D3006201-ON,ON,INTL,T417,PR6819,CAON,3,0,0,0,0,N,N,N
060-420-001,2026-04-02,20260402-insp-116,2025-12-11,08:30,09:10,CVIR2604020116,"QEW Hamilton, ON","DHILLON, K",D3006148-ON,ON,MACK,T416,PR6812,CAON,3,0,0,0,0,N,N,N
060-420-001,2026-04-02,20260402-insp-115,2025-12-06,15:45,16:25,CVIR2604020115,"HWY 11 North Bay, ON","GREWAL, J",D3006095-ON,ON,KENWORTH,T415,PR6805,CAON,3,0,0,0,0,N,N,N
060-420-001,2026-04-02,20260402-insp-114,2025-12-01,13:15,13:55,CVIR2604020114,"HWY 7 Mississauga, ON","PATEL, A",D3006042-ON,ON,PETERBILT,T414,PR6798,CAON,3,0,0,0,0,N,N,N
060-420-001,2026-04-02,20260402-insp-113,2025-11-26,11:30,12:15,CVIR2604020113,"HWY 400 Barrie, ON","SHARMA, R",D3005989-ON,ON,FREIGHTLN,T413,PR6791,CAON,3,0,0,0,0,N,N,N
060-420-001,2026-04-02,20260402-insp-112,2025-11-20,09:00,09:45,CVIR2604020112,"HWY 401 Toronto, ON","SINGH, M",D3005936-ON,ON,VOLVO,T412,PR6784,CAON,3,0,0,0,0,N,N,N
060-420-001,2026-04-02,20260402-insp-111,2025-11-15,10:30,11:10,CVIR2604020111,"HWY 416 Ottawa, ON","GILL, P",D3005883-ON,ON,WESTERN,T411,PR6777,CAON,3,0,0,0,0,N,N,N
060-420-001,2026-04-02,20260402-insp-110,2025-11-10,14:00,14:40,CVIR2604020110,"HWY 403 Brantford, ON","BAJWA, S",D3005830-ON,ON,INTL,T410,PR6770,CAON,3,0,0,0,0,N,N,N
060-420-001,2026-04-02,20260402-insp-109,2025-11-04,08:30,09:10,CVIR2604020109,"QEW Hamilton, ON","BRAR, H",D3005777-ON,ON,MACK,T409,PR6763,CAON,3,0,0,0,0,N,N,N
060-420-001,2026-04-02,20260402-insp-108,2025-10-30,15:45,16:25,CVIR2604020108,"HWY 11 North Bay, ON","DHILLON, K",D3005724-ON,ON,KENWORTH,T408,PR6756,CAON,3,0,0,0,0,N,N,N
060-420-001,2026-04-02,20260402-insp-107,2025-10-25,13:15,13:55,CVIR2604020107,"HWY 7 Mississauga, ON","GREWAL, J",D3005671-ON,ON,PETERBILT,T407,PR6749,CAON,3,0,0,0,0,N,N,N
