cvorNumber,reportDate,id,date,time,ticket,location,driverName,driverLicence,vehicle1_plate,convictionDate,chargedCarrier,offence,points,microfilm
369-110-004,2026-01-26,20260126-conv-3,2025-04-06,08:15,CONV-20260126-003,"HWY 11 North Bay, ON","GREWAL, J",D2000273-ON,PR5021,2025-05-06,N,HTA s.128 - Speeding,1,MF260126-0003
369-110-004,2026-01-26,20260126-conv-2,2025-02-18,16:20,CONV-20260126-002,"HWY 7 Mississauga, ON","PATEL, A",D2000182-ON,PR5014,2025-03-19,N,HTA s.128 - Speeding,1,MF260126-0002
369-110-004,2026-01-26,20260126-conv-1,2024-12-31,13:45,CONV-20260126-001,"HWY 400 Barrie, ON","SHARMA, R",D2000091-ON,PR5007,2025-01-30,N,HTA s.128 - Speeding,2,MF260126-0001
369-110-004,2026-01-26,20260126-conv-0,2024-11-13,09:30,CONV-20260126-000,"HWY 401 Toronto, ON","SINGH, M",D2000000-ON,PR5000,2024-12-13,N,HTA s.128 - Speeding,2,MF260126-0000
369-110-004,2026-01-26,20260126-conv-9,2024-08-20,16:20,CONV-20260126-009,"HWY 7 Mississauga, ON","SHARMA, R",D2000819-ON,PR5063,2024-09-19,N,HTA s.74 - Other,1,MF260126-0009
369-110-004,2026-01-26,20260126-conv-8,2024-07-16,13:45,CONV-20260126-008,"HWY 400 Barrie, ON","SINGH, M",D2000728-ON,PR5056,2024-08-15,N,HTA s.74 - Other,1,MF260126-0008
369-110-004,2026-01-26,20260126-conv-7,2024-06-11,09:30,CONV-20260126-007,"HWY 401 Toronto, ON","GILL, P",D2000637-ON,PR5049,2024-07-11,N,HTA s.74 - Other,2,MF260126-0007
369-110-004,2026-01-26,20260126-conv-6,2024-05-08,10:15,CONV-20260126-006,"HWY 416 Ottawa, ON","BAJWA, S",D2000546-ON,PR5042,2024-06-07,Y,HTA s.111 - Improperly secured load,2,MF260126-0006
369-110-004,2026-01-26,20260126-conv-5,2024-04-03,14:30,CONV-20260126-005,"HWY 403 Brantford, ON","BRAR, H",D2000455-ON,PR5035,2024-05-03,N,HTA s.128 - Speeding,2,MF260126-0005
369-110-004,2026-01-26,20260126-conv-4,2024-02-29,11:00,CONV-20260126-004,"QEW Hamilton, ON","DHILLON, K",D2000364-ON,PR5028,2024-03-29,N,HTA s.128 - Speeding,2,MF260126-0004
