cvorNumber,reportDate,id,date,time,ticket,location,driverName,driverLicence,vehicle1_plate,collisionClass,vehicleAction,driverAction,driverCharged,points,microfilm
850-000-203,2025-02-03,20250203-coll-7,2025-01-06,09:30,COLL-20250203-007,"HWY 401 Toronto, ON","GILL, P",D1000959-ON,PR4049,CLASS-PROPERTY DAMAGE ONLY,VEH ACTN-CHANGING LANES,DR ACT-IMPROPER LANE CHANGE,Y,1,MF250203-0007
850-000-203,2025-02-03,20250203-coll-6,2024-12-10,10:15,COLL-20250203-006,"HWY 416 Ottawa, ON","BAJWA, S",D1000822-ON,PR4042,CLASS-PROPERTY DAMAGE ONLY,VEH ACTN-CHANGING LANES,DR ACT-IMPROPER LANE CHANGE,Y,1,MF250203-0006
850-000-203,2025-02-03,20250203-coll-5,2024-11-13,14:30,COLL-20250203-005,"HWY 403 Brantford, ON","BRAR, H",D1000685-ON,PR4035,CLASS-PROPERTY DAMAGE ONLY,VEH ACTN-CHANGING LANES,DR ACT-IMPROPER LANE CHANGE,Y,1,MF250203-0005
850-000-203,2025-02-03,20250203-coll-4,2024-10-16,11:00,COLL-20250203-004,"QEW Hamilton, ON","DHILLON, K",D1000548-ON,PR4028,CLASS-PROPERTY DAMAGE ONLY,VEH ACTN-CHANGING LANES,DR ACT-IMPROPER LANE CHANGE,Y,1,MF250203-0004
850-000-203,2025-02-03,20250203-coll-3,2024-09-18,08:15,COLL-20250203-003,"HWY 11 North Bay, ON","GREWAL, J",D1000411-ON,PR4021,CLASS-PROPERTY DAMAGE ONLY,VEH ACTN-CHANGING LANES,DR ACT-IMPROPER LANE CHANGE,Y,1,MF250203-0003
850-000-203,2025-02-03,20250203-coll-2,2024-08-22,16:20,COLL-20250203-002,"HWY 7 Mississauga, ON","PATEL, A",D1000274-ON,PR4014,CLASS-INJURY,VEH ACTN-CHANGING LANES,DR ACT-IMPROPER LANE CHANGE,Y,1,MF250203-0002
850-000-203,2025-02-03,20250203-coll-1,2024-07-26,13:45,COLL-20250203-001,"HWY 400 Barrie, ON","SHARMA, R",D1000137-ON,PR4007,CLASS-INJURY,VEH ACTN-CHANGING LANES,DR ACT-IMPROPER LANE CHANGE,Y,1,MF250203-0001
850-000-203,2025-02-03,20250203-coll-0,2024-06-29,09:30,COLL-20250203-000,"HWY 401 Toronto, ON","SINGH, M",D1000000-ON,PR4000,CLASS-INJURY,VEH ACTN-CHANGING LANES,DR ACT-IMPROPER LANE CHANGE,Y,1,MF250203-0000
850-000-203,2025-02-03,20250203-coll-14,2024-05-02,09:30,COLL-20250203-014,"HWY 401 Toronto, ON","BAJWA, S",D1001918-ON,PR4098,CLASS-PROPERTY DAMAGE ONLY,VEH ACTN-CHANGING LANES,DR ACT-IMPROPER LANE CHANGE,N,0,MF250203-0014
850-000-203,2025-02-03,20250203-coll-13,2024-04-02,10:15,COLL-20250203-013,"HWY 416 Ottawa, ON","BRAR, H",D1001781-ON,PR4091,CLASS-PROPERTY DAMAGE ONLY,VEH ACTN-CHANGING LANES,DR ACT-IMPROPER LANE CHANGE,Y,1,MF250203-0013
850-000-203,2025-02-03,20250203-coll-12,2024-03-03,14:30,COLL-20250203-012,"HWY 403 Brantford, ON","DHILLON, K",D1001644-ON,PR4084,CLASS-PROPERTY DAMAGE ONLY,VEH ACTN-CHANGING LANES,DR ACT-IMPROPER LANE CHANGE,Y,1,MF250203-0012
850-000-203,2025-02-03,20250203-coll-11,2024-02-02,11:00,COLL-20250203-011,"QEW Hamilton, ON","GREWAL, J",D1001507-ON,PR4077,CLASS-PROPERTY DAMAGE ONLY,VEH ACTN-CHANGING LANES,DR ACT-IMPROPER LANE CHANGE,Y,1,MF250203-0011
850-000-203,2025-02-03,20250203-coll-10,2024-01-02,08:15,COLL-20250203-010,"HWY 11 North Bay, ON","PATEL, A",D1001370-ON,PR4070,CLASS-PROPERTY DAMAGE ONLY,VEH ACTN-CHANGING LANES,DR ACT-IMPROPER LANE CHANGE,Y,1,MF250203-0010
850-000-203,2025-02-03,20250203-coll-9,2023-12-03,16:20,COLL-20250203-009,"HWY 7 Mississauga, ON","SHARMA, R",D1001233-ON,PR4063,CLASS-PROPERTY DAMAGE ONLY,VEH ACTN-CHANGING LANES,DR ACT-IMPROPER LANE CHANGE,Y,1,MF250203-0009
850-000-203,2025-02-03,20250203-coll-8,2023-11-01,13:45,COLL-20250203-008,"HWY 400 Barrie, ON","SINGH, M",D1001096-ON,PR4056,CLASS-PROPERTY DAMAGE ONLY,VEH ACTN-CHANGING LANES,DR ACT-IMPROPER LANE CHANGE,Y,1,MF250203-0008
850-000-203,2025-02-03,20250203-coll-21,2023-08-31,09:30,COLL-20250203-021,"HWY 401 Toronto, ON","BRAR, H",D1002877-ON,PR4147,CLASS-PROPERTY DAMAGE ONLY,VEH ACTN-CHANGING LANES,DR ACT-IMPROPER LANE CHANGE,N,0,MF250203-0021
