cvorNumber,reportDate,id,date,time,ticket,location,driverName,driverLicence,vehicle1_plate,convictionDate,chargedCarrier,offence,points,microfilm
850-000-203,2025-02-03,20250203-conv-9,2025-01-11,16:20,CONV-20250203-009,"HWY 7 Mississauga, ON","SHARMA, R",D2000819-ON,PR5063,2025-02-10,N,HTA s.128 - Speeding,2,MF250203-0009
850-000-203,2025-02-03,20250203-conv-8,2024-12-20,13:45,CONV-20250203-008,"HWY 400 Barrie, ON","SINGH, M",D2000728-ON,PR5056,2025-01-19,N,HTA s.128 - Speeding,2,MF250203-0008
850-000-203,2025-02-03,20250203-conv-7,2024-11-28,09:30,CONV-20250203-007,"HWY 401 Toronto, ON","GILL, P",D2000637-ON,PR5049,2024-12-28,N,HTA s.128 - Speeding,2,MF250203-0007
850-000-203,2025-02-03,20250203-conv-6,2024-11-05,10:15,CONV-20250203-006,"HWY 416 Ottawa, ON","BAJWA, S",D2000546-ON,PR5042,2024-12-05,N,HTA s.128 - Speeding,3,MF250203-0006
850-000-203,2025-02-03,20250203-conv-5,2024-10-13,14:30,CONV-20250203-005,"HWY 403 Brantford, ON","BRAR, H",D2000455-ON,PR5035,2024-11-13,N,HTA s.128 - Speeding,3,MF250203-0005
850-000-203,2025-02-03,20250203-conv-4,2024-09-21,11:00,CONV-20250203-004,"QEW Hamilton, ON","DHILLON, K",D2000364-ON,PR5028,2024-10-21,N,HTA s.128 - Speeding,3,MF250203-0004
850-000-203,2025-02-03,20250203-conv-3,2024-08-30,08:15,CONV-20250203-003,"HWY 11 North Bay, ON","GREWAL, J",D2000273-ON,PR5021,2024-09-29,N,HTA s.128 - Speeding,3,MF250203-0003
850-000-203,2025-02-03,20250203-conv-2,2024-08-07,16:20,CONV-20250203-002,"HWY 7 Mississauga, ON","PATEL, A",D2000182-ON,PR5014,2024-09-06,N,HTA s.128 - Speeding,3,MF250203-0002
850-000-203,2025-02-03,20250203-conv-1,2024-07-16,13:45,CONV-20250203-001,"HWY 400 Barrie, ON","SHARMA, R",D2000091-ON,PR5007,2024-08-15,N,HTA s.128 - Speeding,3,MF250203-0001
850-000-203,2025-02-03,20250203-conv-0,2024-06-24,09:30,CONV-20250203-000,"HWY 401 Toronto, ON","SINGH, M",D2000000-ON,PR5000,2024-07-24,N,HTA s.128 - Speeding,3,MF250203-0000
850-000-203,2025-02-03,20250203-conv-18,2024-05-08,11:00,CONV-20250203-018,"QEW Hamilton, ON","PATEL, A",D2001638-ON,PR5126,2024-06-07,N,HTA s.84 - Defective brakes,2,MF250203-0018
850-000-203,2025-02-03,20250203-conv-17,2024-04-14,08:15,CONV-20250203-017,"HWY 11 North Bay, ON","SHARMA, R",D2001547-ON,PR5119,2024-05-14,N,HTA s.84 - Defective brakes,3,MF250203-0017
