cvorNumber,reportDate,id,date,startTime,endTime,cvir,location,driverName,driverLicence,driverLicenceJurisdiction,vehicle1_make,vehicle1_unit,vehicle1_plate,vehicle1_jurisdiction,level,vehiclePoints,driverPoints,oosCount,totalDefects,charged,coDriver,impoundment
850-000-203,2025-02-03,20250203-insp-151,2025-01-29,08:30,09:10,CVIR2502030151,"QEW Hamilton, ON","GILL, P",D3008003-ON,ON,MACK,T451,PR7057,CAON,5,0,0,0,0,N,N,N
850-000-203,2025-02-03,20250203-insp-150,2025-01-24,15:45,16:25,CVIR2502030150,"HWY 11 North Bay, ON","BAJWA, S",D3007950-ON,ON,KENWORTH,T450,PR7050,CAON,5,0,0,0,0,N,N,N
850-000-203,2025-02-03,20250203-insp-149,2025-01-19,13:15,13:55,CVIR2502030149,"HWY 7 Mississauga, ON","BRAR, H",D3007897-ON,ON,PETERBILT,T449,PR7043,CAON,5,0,0,0,0,N,N,N
850-000-203,2025-02-03,20250203-insp-148,2025-01-14,11:30,12:15,CVIR2502030148,"HWY 400 Barrie, ON","DHILLON, K",D3007844-ON,ON,FREIGHTLN,T448,PR7036,CAON,4,0,0,0,0,N,N,N
850-000-203,2025-02-03,20250203-insp-147,2025-01-10,09:00,09:45,CVIR2502030147,"HWY 401 Toronto, ON","GREWAL, J",D3007791-ON,ON,VOLVO,T447,PR7029,CAON,4,0,0,0,0,N,N,N
850-000-203,2025-02-03,20250203-insp-146,2025-01-05,10:30,11:10,CVIR2502030146,"HWY 416 Ottawa, ON","PATEL, A",D3007738-ON,ON,WESTERN,T446,PR7022,CAON,4,0,0,0,0,N,N,N
850-000-203,2025-02-03,20250203-insp-145,2024-12-31,14:00,14:40,CVIR2502030145,"HWY 403 Brantford, ON","SHARMA, R",D3007685-ON,ON,INTL,T445,PR7015,CAON,4,1,0,1,2,Y,N,N
850-000-203,2025-02-03,20250203-insp-144,2024-12-26,08:30,09:10,CVIR2502030144,"QEW Hamilton, ON","SINGH, M",D3007632-ON,ON,MACK,T444,PR7008,CAON,3,0,0,0,0,N,N,N
850-000-203,2025-02-03,20250203-insp-143,2024-12-22,15:45,16:25,CVIR2502030143,"HWY 11 North Bay, ON","GILL, P",D3007579-ON,ON,KENWORTH,T443,PR7001,CAON,3,0,0,0,0,N,N,N
850-000-203,2025-02-03,20250203-insp-142,2024-12-17,13:15,13:55,CVIR2502030142,"HWY 7 Mississauga, ON","BAJWA, S",D3007526-ON,ON,PETERBILT,T442,PR6994,CAON,3,0,0,0,0,N,N,N
850-000-203,2025-02-03,20250203-insp-141,2024-12-12,11:30,12:15,CVIR2502030141,"HWY 400 Barrie, ON","BRAR, H",D3007473-ON,ON,FREIGHTLN,T441,PR6987,CAON,3,0,0,0,0,N,N,N
850-000-203,2025-02-03,20250203-insp-140,2024-12-07,09:00,09:45,CVIR2502030140,"HWY 401 Toronto, ON","DHILLON, K",D3007420-ON,ON,VOLVO,T440,PR6980,CAON,3,0,0,0,0,N,N,N
850-000-203,2025-02-03,20250203-insp-139,2024-12-02,10:30,11:10,CVIR2502030139,"HWY 416 Ottawa, ON","GREWAL, J",D3007367-ON,ON,WESTERN,T439,PR6973,CAON,3,0,0,0,0,N,N,N
850-000-203,2025-02-03,20250203-insp-138,2024-11-28,14:00,14:40,CVIR2502030138,"HWY 403 Brantford, ON","PATEL, A",D3007314-ON,ON,INTL,T438,PR6966,CAON,3,0,0,0,0,N,N,N
850-000-203,2025-02-03,20250203-insp-137,2024-11-23,08:30,09:10,CVIR2502030137,"QEW Hamilton, ON","SHARMA, R",D3007261-ON,ON,MACK,T437,PR6959,CAON,3,0,0,0,0,N,N,N
850-000-203,2025-02-03,20250203-insp-136,2024-11-18,15:45,16:25,CVIR2502030136,"HWY 11 North Bay, ON","SINGH, M",D3007208-ON,ON,KENWORTH,T436,PR6952,CAON,3,0,0,0,0,N,N,N
850-000-203,2025-02-03,20250203-insp-135,2024-11-13,13:15,13:55,CVIR2502030135,"HWY 7 Mississauga, ON","GILL, P",D3007155-ON,ON,PETERBILT,T435,PR6945,CAON,3,0,0,0,0,N,N,N
850-000-203,2025-02-03,20250203-insp-134,2024-11-09,11:30,12:15,CVIR2502030134,"HWY 400 Barrie, ON","BAJWA, S",D3007102-ON,ON,FREIGHTLN,T434,PR6938,CAON,3,0,0,0,0,N,N,N
850-000-203,2025-02-03,20250203-insp-133,2024-11-04,09:00,09:45,CVIR2502030133,"HWY 401 Toronto, ON","BRAR, H",D3007049-ON,ON,VOLVO,T433,PR6931,CAON,3,0,0,0,0,N,N,N
